decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,month,year,day,decade,lat_grid,lon_grid,phylum_enc,class_enc,order_enc,family_enc,taxonRank_enc,basisOfRecord_enc,season_enc,species_richness,TARGET_sighting_density
17.715565,73.463019,1000.0,2,1962,22,1960,17.7,73.5,1,8,9,44,4,3,3,7,4
17.389874,73.725142,200.0,7,2022,29,2020,17.4,73.7,2,0,2,6,4,3,0,51,505
17.388157,73.723124,200.0,1,2003,13,2000,17.4,73.7,2,0,2,6,4,3,3,51,388
17.536345,73.813426,1000.0,12,2003,17,2000,17.5,73.8,2,10,23,24,1,1,3,20,70
17.538299,73.482259,1000.0,8,1962,2,1960,17.5,73.5,2,0,2,19,4,3,0,37,84
17.354895,73.770145,1000.0,6,1959,19,1950,17.4,73.8,2,0,2,19,4,0,0,31,39
17.724135,73.831471,3152.0,10,2016,11,2010,17.7,73.8,2,0,2,19,4,0,1,40,200
17.387084,73.728845,200.0,10,2011,7,2010,17.4,73.7,2,0,2,6,4,3,1,51,383
17.388162,73.713834,200.0,12,2025,28,2020,17.4,73.7,2,0,2,6,4,3,3,51,503
17.405631,73.737841,1500.0,10,2016,8,2010,17.4,73.7,2,0,2,19,4,3,1,51,383
17.768706,73.740095,15.0,10,2003,26,2000,17.8,73.7,2,10,23,65,4,0,1,7,8
17.416404,73.802067,776.0,4,2013,2,2010,17.4,73.8,2,10,23,15,4,0,2,31,27
17.398843,73.71664,30.0,7,2018,25,2010,17.4,73.7,2,10,23,24,4,3,0,51,505
17.76596,73.744767,229.0,6,2025,13,2020,17.8,73.7,2,9,16,50,4,0,0,7,5
17.406692,73.708539,200.0,9,1962,13,1960,17.4,73.7,2,0,12,32,4,3,0,51,322
17.707965,73.837043,993.0,10,2022,12,2020,17.7,73.8,2,9,6,9,4,0,1,40,200
17.361092,73.81648,1000.0,1,2020,13,2020,17.4,73.8,2,12,8,18,4,3,3,31,50
17.60694,73.842608,5091.0,11,1962,26,1960,17.6,73.8,2,10,23,65,4,0,1,37,124
17.724145,73.800583,8.0,7,2023,1,2020,17.7,73.8,2,10,23,65,4,0,0,40,210
17.683185,73.529889,1000.0,1,2016,15,2010,17.7,73.5,2,12,8,40,1,3,3,7,47
17.547406,73.607279,30732.0,10,1954,9,1950,17.5,73.6,2,0,2,46,4,0,1,13,8
17.580955,73.506527,1000.0,12,2016,13,2010,17.6,73.5,2,0,2,6,4,0,3,29,64
17.558194,73.482908,1000.0,11,2025,23,2020,17.6,73.5,2,10,23,24,4,3,1,29,58
17.517969,73.513225,1000.0,7,2003,16,2000,17.5,73.5,6,12,23,62,2,0,0,37,174
17.729402,73.813238,5604.0,6,1961,7,1960,17.7,73.8,2,9,6,9,4,0,0,40,84
17.778883,73.722421,209.0,7,2011,27,2010,17.8,73.7,2,10,23,15,4,0,0,7,9
17.421589,73.734311,200.0,7,2019,3,2010,17.4,73.7,2,0,2,6,4,3,0,51,505
17.579675,73.834588,1000.0,12,2010,8,2010,17.6,73.8,2,10,23,24,4,3,3,37,156
17.473711,73.462216,1000.0,5,2022,2,2020,17.5,73.5,1,1,3,48,4,0,2,37,64
17.552865,73.502172,78.0,11,1962,19,1960,17.6,73.5,2,10,23,24,4,0,1,29,58
17.59503,73.820649,1000.0,7,2016,13,2010,17.6,73.8,2,10,23,49,4,0,0,37,179
17.57432,73.811519,1000.0,9,2013,2,2010,17.6,73.8,2,0,2,47,4,0,0,37,146
