lat_grid,lon_grid,day,month,year,decade,season_enc,coordinateUncertaintyInMeters,species_richness,order_enc,family_enc,class_enc,taxonRank_enc,basisOfRecord_enc,decimalLatitude,decimalLongitude,plant_sighting_density
17.4,73.5,22,9,2015,2010,3,119000.0,23,14,0,1,2,4,17.381254,73.511314,128
17.7,73.8,20,5,2021,2020,1,206.0,232,14,0,1,2,0,17.739243,73.812491,6544
17.5,73.8,10,9,2018,2010,3,549.0,17,19,46,1,2,0,17.52497,73.809509,99
17.7,73.8,20,9,2022,2020,3,994.0,232,4,15,1,2,0,17.704373,73.819993,6544
17.4,73.6,17,10,2024,2020,3,549.0,60,17,34,1,2,0,17.412976,73.649727,435
17.7,73.8,6,3,2014,2010,1,244.0,232,2,59,0,2,0,17.726751,73.826095,6544
17.5,73.8,28,10,2025,2020,3,549.0,17,30,82,1,1,0,17.486081,73.837419,99
17.4,73.7,10,12,2025,2020,0,549.0,112,2,59,0,2,0,17.400864,73.663763,941
17.7,73.8,28,9,2024,2020,3,378.0,232,8,25,0,2,0,17.735764,73.813569,6544
17.5,73.6,23,9,2023,2020,3,30732.0,23,18,48,1,2,0,17.505461,73.613666,115
17.6,73.8,6,10,2015,2010,3,4157.0,81,12,6,1,2,0,17.588465,73.818287,884
17.7,73.8,8,9,2022,2020,3,549.0,232,6,31,1,2,0,17.682507,73.840957,6544
17.7,73.8,20,6,2022,2020,2,549.0,232,11,35,1,2,0,17.701134,73.753368,6544
17.7,73.8,23,11,2018,2010,3,993.0,232,6,31,1,2,0,17.709494,73.821985,6544
17.7,73.8,16,9,2019,2010,3,122.0,232,23,69,0,2,0,17.708012,73.812627,6544
17.7,73.8,10,9,2015,2010,3,993.0,232,12,6,1,2,0,17.72101,73.831551,6544
17.7,73.8,23,9,2018,2010,3,378.0,232,3,11,1,2,0,17.719267,73.816641,6544
17.7,73.8,12,9,1981,1980,3,205.0,232,1,5,1,2,0,17.724557,73.812752,6544
17.8,73.8,27,10,2023,2020,3,5452.0,34,10,12,1,2,0,17.751226,73.795419,205
17.7,73.8,21,9,2019,2010,3,993.0,232,12,6,1,2,0,17.720608,73.840136,6544
17.7,73.8,21,7,2019,2010,2,175.0,232,2,59,0,2,0,17.710391,73.806769,6544
17.5,73.6,30,9,2015,2010,3,549.0,23,5,19,1,2,0,17.45216,73.622722,115
17.7,73.8,21,9,2024,2020,3,645.0,232,2,59,0,2,0,17.726364,73.828983,6544
17.5,73.7,28,10,2014,2010,3,30732.0,12,25,62,1,2,0,17.499453,73.727298,33
