coordinateUncertaintyInMeters,day,month,year,order_enc,family_enc,taxonRank_enc,basisOfRecord_enc,bird_sighting_density,decimalLatitude,decimalLongitude,lat_grid,lon_grid,decade,season_enc,species_richness
337.3333333333333,2,2,2010,13,63,1,0,2.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,2,2,2010,15,48,1,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,31,1,2010,8,4,1,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,2,2,2010,9,20,1,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,2,2,2010,14,8,0,0,4.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,1,2,2010,14,8,0,0,3.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,31,1,2010,14,8,0,0,5.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,31,1,2010,14,8,0,0,6.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,5,2,2010,14,8,1,0,2.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,31,1,2010,14,8,1,0,3.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,2,2,2010,14,8,1,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,31,1,2010,12,55,1,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,5,2,2010,12,55,1,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,2,2,2010,12,55,1,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,31,1,2010,8,4,1,0,2.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,5,2,2010,8,4,1,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,2,2,2010,20,72,0,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,2,2,2010,13,2,1,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,2,2,2010,13,1,1,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,31,1,2010,13,62,1,0,6.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,10,2,2024,13,39,1,0,1.0,17.578789,73.4644,17.6,73.5,2020,0,204
337.3333333333333,1,11,2024,13,19,1,0,2.0,17.355341,73.763374,17.4,73.8,2020,3,163
337.3333333333333,4,2,2024,13,29,1,0,7.0,17.450756,73.71137,17.5,73.7,2020,0,120
337.3333333333333,15,5,2022,13,67,1,0,2.0,17.558733,73.504196,17.6,73.5,2020,1,204
337.3333333333333,13,7,2019,2,28,1,0,2.0,17.486269,73.45156,17.5,73.5,2010,2,219
337.3333333333333,8,11,2020,9,20,1,0,2.0,17.726736,73.82293,17.7,73.8,2020,3,214
337.3333333333333,16,6,2020,15,34,1,0,1.0,17.507244,73.593765,17.5,73.6,2020,2,168
337.3333333333333,18,9,2024,11,46,1,0,3.0,17.355341,73.763374,17.4,73.8,2020,3,163
337.3333333333333,29,12,2020,13,29,1,0,3.0,17.722647,73.813286,17.7,73.8,2020,0,214
337.3333333333333,21,2,2021,7,17,1,0,1.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,28,12,2020,17,53,1,0,2.0,17.389006,73.737785,17.4,73.7,2020,0,243
337.3333333333333,6,11,2020,13,62,1,0,2.0,17.507292,73.593796,17.5,73.6,2020,3,168
337.3333333333333,27,11,2021,7,17,1,0,6.0,17.449356,73.70625,17.4,73.7,2020,3,243
337.3333333333333,30,3,2024,13,38,1,0,1.0,17.324001,73.72256,17.3,73.7,2020,1,107
337.3333333333333,11,6,2020,11,46,1,0,4.0,17.507292,73.593796,17.5,73.6,2020,2,168
337.3333333333333,14,2,2021,13,16,1,0,3.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,31,12,2020,13,1,1,0,2.0,17.720266,73.81503,17.7,73.8,2020,0,214
337.3333333333333,24,2,2021,13,43,1,0,4.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,11,6,2020,13,38,1,0,1.0,17.507292,73.593796,17.5,73.6,2020,2,168
337.3333333333333,3,4,2022,9,20,1,0,1.0,17.384502,73.7406,17.4,73.7,2020,1,243
337.3333333333333,29,8,2021,7,17,1,0,7.0,17.55332,73.51115,17.6,73.5,2020,2,204
337.3333333333333,30,9,2022,2,7,1,0,6.0,17.602793,73.849236,17.6,73.8,2020,3,119
337.3333333333333,28,12,2020,13,31,1,0,1.0,17.338276,73.746414,17.3,73.7,2020,0,107
337.3333333333333,13,1,2024,13,11,1,0,2.0,17.389006,73.737785,17.4,73.7,2020,0,243
337.3333333333333,15,4,2024,7,17,1,0,15.0,17.486029,73.52621,17.5,73.5,2020,1,219
337.3333333333333,13,1,2024,13,38,1,0,2.0,17.389006,73.737785,17.4,73.7,2020,0,243
337.3333333333333,14,2,2021,13,47,1,0,1.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,11,1,2018,13,36,1,0,1.0,17.389006,73.737785,17.4,73.7,2010,0,243
337.3333333333333,22,1,2024,13,16,1,0,3.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,3,2,2024,18,61,1,0,1.0,17.450756,73.71137,17.5,73.7,2020,0,120
337.3333333333333,8,11,2020,13,3,1,0,2.0,17.726736,73.82293,17.7,73.8,2020,3,214
337.3333333333333,14,2,2021,13,3,1,0,3.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,16,4,2022,13,33,1,0,10.0,17.516554,73.52836,17.5,73.5,2020,1,219
337.3333333333333,13,1,2024,13,24,1,0,1.0,17.389006,73.737785,17.4,73.7,2020,0,243
337.3333333333333,25,2,2024,14,65,1,0,6.0,17.539991,73.514824,17.5,73.5,2020,0,219
337.3333333333333,31,12,2020,13,38,1,0,3.0,17.720266,73.81503,17.7,73.8,2020,0,214
337.3333333333333,30,12,2020,13,31,1,0,1.0,17.723852,73.83556,17.7,73.8,2020,0,214
337.3333333333333,23,3,2024,7,17,1,0,1.0,17.355341,73.763374,17.4,73.8,2020,1,163
337.3333333333333,14,2,2021,8,18,1,0,1.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,22,9,2016,13,67,1,0,2.0,17.72487,73.82681,17.7,73.8,2010,3,214
337.3333333333333,1,5,2023,11,46,1,0,3.0,17.516148,73.53396,17.5,73.5,2020,1,219
337.3333333333333,6,6,2018,7,17,1,0,3.0,17.6844,73.8078,17.7,73.8,2010,2,214
337.3333333333333,28,11,2021,13,38,1,0,2.0,17.708992,73.75199,17.7,73.8,2020,3,214
337.3333333333333,31,12,2020,13,38,1,0,1.0,17.720266,73.81503,17.7,73.8,2020,0,214
337.3333333333333,7,6,2018,13,67,1,0,1.0,17.6844,73.8078,17.7,73.8,2010,2,214
337.3333333333333,27,12,2021,13,54,1,0,1.0,17.769136,73.7421,17.8,73.7,2020,0,181
337.3333333333333,11,1,2018,13,36,1,0,1.0,17.389006,73.737785,17.4,73.7,2010,0,243
337.3333333333333,30,12,2020,11,46,1,0,1.0,17.714851,73.81345,17.7,73.8,2020,0,214
337.3333333333333,11,1,2018,11,46,1,0,1.0,17.389006,73.737785,17.4,73.7,2010,0,243
337.3333333333333,18,3,2024,13,22,1,0,1.0,17.355341,73.763374,17.4,73.8,2020,1,163
337.3333333333333,28,12,2020,8,35,1,0,10.0,17.338276,73.746414,17.3,73.7,2020,0,107
337.3333333333333,28,12,2020,13,54,1,0,5.0,17.4255,73.72672,17.4,73.7,2020,0,243
337.3333333333333,15,9,2016,13,16,1,0,3.0,17.72487,73.82681,17.7,73.8,2010,3,214
337.3333333333333,11,12,2024,13,22,1,0,1.0,17.530613,73.51657,17.5,73.5,2020,0,219
337.3333333333333,26,12,2022,17,53,1,0,2.0,17.7691,73.7421,17.8,73.7,2020,0,181
337.3333333333333,22,9,2016,13,44,1,0,2.0,17.72487,73.82681,17.7,73.8,2010,3,214
337.3333333333333,30,12,2020,11,46,1,0,2.0,17.729866,73.76544,17.7,73.8,2020,0,214
337.3333333333333,11,6,2020,9,20,1,0,1.0,17.507292,73.593796,17.5,73.6,2020,2,168
337.3333333333333,30,12,2020,13,39,1,0,4.0,17.671434,73.74872,17.7,73.7,2020,0,86
337.3333333333333,20,9,2024,13,54,1,0,4.0,17.72487,73.82681,17.7,73.8,2020,3,214
337.3333333333333,1,5,2023,13,33,1,0,3.0,17.516148,73.53396,17.5,73.5,2020,1,219
337.3333333333333,25,2,2019,13,38,1,0,2.0,17.434141,73.65726,17.4,73.7,2010,0,243
